日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2010/1/29,-0.0858,0.0633,-0.0425
2010/2/26,0.0295,0.0423,-0.0069
2010/3/31,0.0237,0.0297,-0.005
2010/4/30,-0.0786,0.0086,-0.0387
2010/5/31,-0.0846,0.0067,-0.0415
2010/6/30,-0.0781,-0.0141,0.0121
2010/7/30,0.1213,0.0217,-0.0016
2010/8/31,0.0243,0.0588,-0.065
2010/9/30,0.0086,-0.0107,-0.0311
2010/10/29,0.1176,-0.0359,0.023
2010/11/30,-0.0456,0.0532,-0.0474
2010/12/31,-0.012,-0.011,0.0334
2011/1/31,-0.025,-0.0297,0.0456
2011/2/28,0.0493,0.0514,-0.0306
2011/3/31,-0.0018,0.018,0.0223
2011/4/29,-0.0175,-0.0081,0.0072
2011/5/31,-0.0639,-0.0051,-0.0133
2011/6/30,0.0194,0.0126,-0.0104
2011/7/29,-0.014,0.0189,-0.0505
2011/8/31,-0.0506,0.0191,-0.0237
2011/9/30,-0.0939,-0.0213,0.0379
2011/10/31,0.0388,0.0052,0.012
2011/11/30,-0.0552,0.0122,-0.0325
2011/12/30,-0.0778,-0.0757,0.0686
2012/1/31,0.0275,-0.0351,0.0187
2012/2/29,0.0675,0.0484,-0.0297
2012/3/30,-0.0728,0.0062,0.0051
2012/4/27,0.0552,0.0202,-0.0081
2012/5/31,-0.0038,0.0039,-0.0207
2012/6/29,-0.0538,0.0003,-0.0158
2012/7/31,-0.0586,-0.0416,0.0064
2012/8/31,-0.0268,0.07,-0.019
2012/9/28,0.0212,-0.0276,-0.0168
2012/10/31,-0.0123,0.0118,0.0166
2012/11/30,-0.0636,-0.053,0.0481
2012/12/31,0.1475,0.0133,0.016
2013/1/31,0.0479,0.0466,-0.0147
2013/2/28,-0.0021,0.0351,-0.0079
2013/3/29,-0.053,0.016,-0.0143
2013/4/26,-0.0269,0.0074,0.0065
2013/5/31,0.0751,0.071,-0.0226
2013/6/28,-0.1376,-0.0068,-0.0003
2013/7/31,0.0251,0.0442,0.001
2013/8/30,0.0493,0.0348,-0.0049
2013/9/30,0.0403,0.0093,0.0071
2013/10/31,-0.0246,0.0008,0.0244
2013/11/29,0.041,0.0476,0.017
2013/12/31,-0.045,0.0116,0.004
2014/1/30,-0.0258,0.0707,0.0061
2014/2/28,0.0065,0.033,0.0059
2014/3/31,-0.0261,-0.0062,0.0038
2014/4/30,-0.0107,-0.0015,-0.0094
2014/5/30,0.0101,0.0236,-0.0018
2014/6/30,0.0225,0.0338,0.0047
2014/7/31,0.0769,0.0063,0.0261
2014/8/29,0.0149,0.0485,-0.0188
2014/9/30,0.0768,0.0865,-0.0132
2014/10/31,0.0175,0.0033,0.0097
2014/11/28,0.0874,-0.006,0.0369
2014/12/31,0.1387,-0.1707,0.1466
2015/1/30,0.0119,0.0246,-0.0668
2015/2/27,0.0432,0.0267,-0.0349
2015/3/31,0.1531,0.0785,-0.0161
2015/4/30,0.1753,0.003,0.0303
2015/5/29,0.0908,0.19,-0.1545
2015/6/30,-0.085,-0.0363,0.0753
2015/7/31,-0.152,-0.0585,-0.0051
2015/8/31,-0.1469,0.0178,0.0127
2015/9/30,-0.0534,0.0224,-0.0404
2015/10/30,0.1411,0.0947,-0.0715
2015/11/30,0.0395,0.1164,-0.0398
2015/12/31,0.0381,0.0629,-0.0185
2016/1/29,-0.2547,-0.0442,0.0342
2016/2/29,-0.0251,0.0001,0.0113
2016/3/31,0.1415,0.0501,-0.0482
2016/4/29,-0.0224,0.0331,0.0011
2016/5/31,-0.0062,-0.0248,-0.0094
2016/6/30,0.0236,0.0398,-0.0269
2016/7/29,0.0087,-0.0119,0.0507
2016/8/31,0.0394,0.0292,0.007
2016/9/30,-0.0219,0.0374,-0.0007
2016/10/31,0.027,0.0215,0.0098
2016/11/30,0.0391,-0.002,0.0347
2016/12/30,-0.0519,0.0303,0.0156
2017/1/26,0.0047,-0.0307,0.0422
2017/2/28,0.0239,0.0107,0.0039
2017/3/31,-0.0094,-0.0278,0.0151
2017/4/28,-0.0278,-0.0503,0.032
2017/5/31,-0.0236,-0.0526,0.0271
2017/6/30,0.0381,-0.0213,-0.0002
2017/7/31,0.0231,-0.0141,0.0448
2017/8/31,0.0245,0.0037,-0.0236
2017/9/29,0.0047,-0.0045,-0.0205
2017/10/31,0.0099,-0.0564,-0.0073
2017/11/30,-0.031,-0.0415,0.023
2017/12/29,-0.0035,-0.0329,-0.0046
2018/1/31,0.033,-0.0624,0.0513
2018/2/28,-0.059,-0.0108,-0.0167
2018/3/30,-0.0166,0.0475,-0.0536
2018/4/27,-0.0368,-0.006,0.0089
2018/5/31,-0.0026,-0.0383,-0.0083
2018/6/29,-0.083,-0.0367,0.0227
2018/7/31,0.0072,0.0137,0.0212
2018/8/31,-0.0601,-0.0069,0.0314
2018/9/28,0.022,-0.0228,0.0251
2018/10/31,-0.0907,0.0173,0.0353
2018/11/30,0.0068,0.055,-0.0352
2018/12/28,-0.0457,-0.0042,0.0037
2019/1/31,0.0284,-0.0499,0.0134
2019/2/28,0.1552,0.0638,-0.0608
2019/3/29,0.0639,0.0399,-0.0326
2019/4/30,-0.0118,-0.0172,0.0061
2019/5/31,-0.0631,0.0202,-0.0057
2019/6/28,0.0306,-0.0415,-0.0137
2019/7/31,-0.004,-0.0214,-0.0057
2019/8/30,-0.0117,-0.0121,-0.054
2019/9/30,0.005,0.0111,-0.0004
2019/10/31,0.0103,-0.0075,-0.0306
2019/11/29,-0.0183,-0.0129,0.007
2019/12/31,0.0664,0.0097,-0.0006
2020/1/23,-0.0124,0.018,-0.033
2020/2/28,-0.0103,0.0006,-0.0418
2020/3/31,-0.0582,0.0149,0.0166
2020/4/30,0.0461,-0.036,-0.0335
2020/5/29,0.0021,0.0156,-0.0263
2020/6/30,0.0756,-0.0016,-0.0605
2020/7/31,0.1297,0.0062,-0.0122
2020/8/31,0.0238,0.0157,-0.0052
2020/9/30,-0.0584,-0.0064,0.0073
2020/10/30,0.0091,0.0012,-0.0188
2020/11/30,0.0374,-0.0272,0.0594
2020/12/31,0.0245,-0.0827,-0.0435
2021/1/29,-0.0025,-0.0929,-0.0222
2021/2/26,0.0004,0.0315,0.0472
2021/3/31,-0.0267,0.053,0.0462
2021/4/30,0.0144,-0.0181,-0.0221
2021/5/31,0.0468,0.0264,-0.0201
2021/6/30,0.0045,0.0225,-0.0184
2021/7/30,-0.0421,0.0283,-0.0151
2021/8/31,0.0364,0.0179,0.086
2021/9/30,-0.0003,-0.0193,0.0419
2021/10/29,-0.003,-0.008,-0.0774
2021/11/30,0.0183,0.1017,-0.0414
2021/12/31,0.0165,0.0095,0.0603
2010/1/29,-0.0854,0.0642,-0.0435
2010/2/26,0.0295,0.0383,-0.011
2010/3/31,0.0238,0.0285,-0.0052
2010/4/30,-0.0782,0.0074,-0.0354
2010/5/31,-0.0851,0.0037,-0.0428
2010/6/30,-0.077,-0.0127,0.0161
2010/7/30,0.1217,0.0198,-0.0016
2010/8/31,0.0248,0.0592,-0.0675
2010/9/30,0.0094,-0.0091,-0.0279
2010/10/29,0.1175,-0.0365,0.0211
2010/11/30,-0.0452,0.0595,-0.0465
2010/12/31,-0.0117,-0.0097,0.0349
2011/1/31,-0.0247,-0.0267,0.0494
2011/2/28,0.0488,0.0483,-0.0379
2011/3/31,-0.0018,0.0152,0.0185
2011/4/29,-0.0177,-0.009,0.0073
2011/5/31,-0.0639,-0.0035,-0.0137
2011/6/30,0.0187,0.0133,-0.0118
2011/7/29,-0.0137,0.0175,-0.0466
2011/8/31,-0.0508,0.0185,-0.024
2011/9/30,-0.0943,-0.0207,0.0381
2011/10/31,0.0391,0.0057,0.0143
2011/11/30,-0.0555,0.0092,-0.0316
2011/12/30,-0.0775,-0.0729,0.0806
2012/1/31,0.0275,-0.0349,0.0211
2012/2/29,0.0678,0.048,-0.0353
2012/3/30,-0.0726,0.0085,0.0105
2012/4/27,0.0552,0.0184,-0.0084
2012/5/31,-0.0041,0.0051,-0.0213
2012/6/29,-0.0535,-0.0042,-0.008
2012/7/31,-0.0591,-0.0471,-0.0025
2012/8/31,-0.0263,0.0717,-0.0119
2012/9/28,0.0211,-0.0239,-0.0135
2012/10/31,-0.0121,0.0131,0.0186
2012/11/30,-0.063,-0.0515,0.0529
2012/12/31,0.1476,0.0148,0.0155
2013/1/31,0.049,0.0517,-0.0068
2013/2/28,-0.0023,0.0318,-0.0121
2013/3/29,-0.0531,0.0148,-0.0155
2013/4/26,-0.0268,0.0065,0.0109
2013/5/31,0.075,0.0702,-0.031
2013/6/28,-0.1373,-0.0034,0.0018
2013/7/31,0.0249,0.0425,-0.0015
2013/8/30,0.0492,0.035,-0.0091
2013/9/30,0.0401,0.0113,0.006
2013/10/31,-0.0245,-0.0003,0.0252
2013/11/29,0.041,0.044,0.0138
2013/12/31,-0.0448,0.0126,0.0044
2014/1/30,-0.0258,0.0701,0.0037
2014/2/28,0.006,0.0308,0.0028
2014/3/31,-0.026,-0.0047,0.0033
2014/4/30,-0.0106,-0.0018,-0.0118
2014/5/30,0.0099,0.0206,0.0006
2014/6/30,0.0225,0.0322,0.0023
2014/7/31,0.0769,0.0067,0.0277
2014/8/29,0.0151,0.0483,-0.0199
2014/9/30,0.0766,0.0843,-0.0196
2014/10/31,0.0173,0.0007,0.0092
2014/11/28,0.0871,-0.0067,0.0369
2014/12/31,0.1382,-0.1708,0.1495
2015/1/30,0.0119,0.0234,-0.0682
2015/2/27,0.0431,0.0268,-0.0373
2015/3/31,0.1526,0.0781,-0.0232
2015/4/30,0.1757,0.0049,0.034
2015/5/29,0.0911,0.1945,-0.1582
2015/6/30,-0.085,-0.0351,0.0795
2015/7/31,-0.1522,-0.0566,-0.0055
2015/8/31,-0.147,0.0168,0.014
2015/9/30,-0.0531,0.0227,-0.0373
2015/10/30,0.1411,0.0914,-0.0738
2015/11/30,0.0396,0.117,-0.0408
2015/12/31,0.0385,0.0631,-0.0132
2016/1/29,-0.2543,-0.0419,0.0423
2016/2/29,-0.0252,0,0.0126
2016/3/31,0.1412,0.0481,-0.0524
2016/4/29,-0.0224,0.0315,0.0015
2016/5/31,-0.0065,-0.0277,-0.0091
2016/6/30,0.0235,0.0402,-0.0278
2016/7/29,0.0088,-0.0137,0.049
2016/8/31,0.0393,0.0286,0.0053
2016/9/30,-0.0218,0.0376,-0.0003
2016/10/31,0.0267,0.0194,0.0074
2016/11/30,0.0389,-0.003,0.0317
2016/12/30,-0.0518,0.0303,0.0144
2017/1/26,0.0047,-0.0329,0.0427
2017/2/28,0.0239,0.0098,0.0038
2017/3/31,-0.0094,-0.0281,0.0145
2017/4/28,-0.0277,-0.0492,0.0342
2017/5/31,-0.0237,-0.0521,0.0274
2017/6/30,0.0381,-0.0201,-0.0016
2017/7/31,0.0231,-0.0143,0.0482
2017/8/31,0.0244,0.0028,-0.0256
2017/9/29,0.0049,-0.003,-0.0199
2017/10/31,0.0098,-0.0554,-0.006
2017/11/30,-0.0311,-0.0418,0.0247
2017/12/29,-0.0034,-0.0306,-0.0009
2018/1/31,0.0329,-0.0622,0.0514
2018/2/28,-0.0589,-0.0104,-0.0161
2018/3/30,-0.0166,0.0475,-0.0562
2018/4/27,-0.0369,-0.0071,0.0096
2018/5/31,-0.0027,-0.0373,-0.0076
2018/6/29,-0.0828,-0.0333,0.0251
2018/7/31,0.0072,0.0139,0.0209
2018/8/31,-0.06,-0.0055,0.0322
2018/9/28,0.0219,-0.0225,0.0237
2018/10/31,-0.0906,0.0183,0.0343
2018/11/30,0.0068,0.0528,-0.0401
2018/12/28,-0.0457,-0.004,0.0052
2019/1/31,0.0283,-0.0484,0.0153
2019/2/28,0.1551,0.0618,-0.0648
2019/3/29,0.0638,0.0391,-0.0373
2019/4/30,-0.0117,-0.0176,0.0055
2019/5/31,-0.0631,0.0193,-0.0063
2019/6/28,0.0306,-0.0412,-0.012
2019/7/31,-0.004,-0.0198,-0.0053
2019/8/30,-0.0118,-0.0132,-0.0538
2019/9/30,0.0051,0.0122,-0.0005
2019/10/31,0.0101,-0.0085,-0.0322
2019/11/29,-0.0185,-0.014,0.0053
2019/12/31,0.0665,0.0091,-0.0032
2020/1/23,-0.0125,0.0178,-0.0332
2020/2/28,-0.0104,0.0007,-0.0458
2020/3/31,-0.0582,0.0139,0.012
2020/4/30,0.0461,-0.0361,-0.0329
2020/5/29,0.0021,0.0147,-0.0292
2020/6/30,0.0755,-0.0011,-0.0636
2020/7/31,0.1297,0.0072,-0.0132
2020/8/31,0.0239,0.0158,-0.0046
2020/9/30,-0.0583,-0.0051,0.0089
2020/10/30,0.0091,0.0031,-0.0212
2020/11/30,0.0373,-0.0263,0.0593
2020/12/31,0.0245,-0.0812,-0.0439
2021/1/29,-0.0024,-0.0919,-0.0219
2021/2/26,0.0003,0.0322,0.0492
2021/3/31,-0.0265,0.0521,0.0473
2021/4/30,0.0144,-0.0182,-0.0218
2021/5/31,0.0467,0.0264,-0.0205
2021/6/30,0.0046,0.0208,-0.0149
2021/7/30,-0.042,0.0269,-0.0126
2021/8/31,0.0364,0.0164,0.0885
2021/9/30,0.0001,-0.0182,0.04
2021/10/29,-0.003,-0.0091,-0.0787
2021/11/30,0.0184,0.0996,-0.046
2021/12/31,0.0164,0.0094,0.061
2010/1/29,-0.0489,0.0128,-0.0544
2010/2/26,0.0284,0.0166,-0.0022
2010/3/31,0.0293,-0.0113,0.004
2010/4/30,-0.044,-0.0629,-0.0961
2010/5/31,-0.1247,-0.0009,0.0294
2010/6/30,0.0141,-0.0649,-0.0302
2010/7/30,0.1504,-0.0067,0.0302
2010/8/31,0.0605,0.0808,-0.0336
2010/9/30,0.0663,0.0106,-0.0419
2010/10/29,0.1079,-0.0035,0.0143
2010/11/30,-0.0145,0.0337,0.0496
2010/12/31,0.0156,0.0024,0.0124
2011/1/31,0.0031,0.0173,0.0372
2011/2/28,0.0022,0.0629,0.0404
2011/3/31,-0.0011,-0.0487,-0.0077
2011/4/29,-0.0372,-0.08,-0.0086
2011/5/31,-0.0606,-0.0071,-0.0438
2011/6/30,-0.0439,0.0241,0.0305
2011/7/29,0.0211,-0.014,-0.0373
2011/8/31,-0.0791,0.0319,-0.0131
2011/9/30,-0.14,0.0528,-0.0296
2011/10/31,0.0821,-0.0817,0.0463
2011/11/30,-0.087,0.011,-0.0351
2011/12/30,-0.0405,-0.0456,0.0633
2012/1/31,0.0315,-0.0179,-0.0011
2012/2/29,0.1045,-0.0169,0.0257
2012/3/30,-0.0471,0.0288,-0.0296
2012/4/27,0.0587,0.0508,-0.0159
2012/5/31,-0.0405,0.0217,0.0325
2012/6/29,-0.0249,-0.031,-0.0061
2012/7/31,-0.1148,-0.1141,0.0107
2012/8/31,0.0306,0.0984,-0.0399
2012/9/28,0.0107,0.0098,0.0059
2012/10/31,0.0148,-0.0128,0.0242
2012/11/30,0.0041,-0.0729,0.0493
2012/12/31,0.1529,0.0435,0.0241
2013/1/31,0.1806,-0.0111,0.0952
2013/2/28,-0.0202,0.0314,-0.0168
2013/3/29,-0.0599,-0.0023,0.0197
2013/4/26,-0.0062,-0.0216,0.0786
2013/5/31,0.0553,0.0399,-0.0133
2013/6/28,-0.1094,-0.013,-0.0063
2013/7/31,-0.001,0.0134,-0.0002
2013/8/30,0.0416,0.0418,0.0397
2013/9/30,0.0191,-0.0305,0.0253
2013/10/31,-0.0087,-0.0152,0.004
2013/11/29,0.0411,-0.0198,0.023
2013/12/31,-0.016,0.0393,-0.0167
2014/1/30,-0.0298,0.0329,0.028
2014/2/28,-0.0506,0.0521,0.0717
2014/3/31,-0.019,0.0132,-0.0252
2014/4/30,0.0042,-0.0311,-0.0206
2014/5/30,-0.028,0.0051,-0.0049
2014/6/30,0.0238,-0.0247,-0.0092
2014/7/31,0.0876,-0.0276,0.0051
2014/8/29,0.0398,0.0178,0.0073
2014/9/30,0.0498,0.0566,0.0052
2014/10/31,-0.0165,0.0006,-0.0053
2014/11/28,0.0325,-0.012,0.0276
2014/12/31,0.0428,-0.0328,0.0253
2015/1/30,0.0145,-0.0119,-0.071
2015/2/27,0.0254,-0.0074,0.0067
2015/3/31,0.0454,0.042,0.005
2015/4/30,0.2727,0.0654,-0.0203
2015/5/29,0.1596,0.2697,-0.0752
2015/6/30,-0.0986,-0.0372,0.0545
2015/7/31,-0.1957,-0.0027,0.0356
2015/8/31,-0.1632,-0.0088,0.0253
2015/9/30,0.0063,0.0355,-0.1456
2015/10/30,0.1349,0.0868,-0.0075
2015/11/30,0.0528,0.0796,-0.0435
2015/12/31,0.1062,0.0583,-0.0808
2016/1/29,-0.173,-0.0312,0.0047
2016/2/29,-0.0355,0.0064,0.0174
2016/3/31,0.0857,0.0642,-0.0127
2016/4/29,-0.0202,-0.0085,0.0099
2016/5/31,-0.0587,0.0136,0.0326
2016/6/30,0.0101,0.0137,-0.0324
2016/7/29,0.013,0.0156,0.0477
2016/8/31,0.0244,0.0022,0.0311
2016/9/30,0.0055,-0.0063,0.0451
2016/10/31,-0.0302,0.0059,0.0536
2016/11/30,0.0076,-0.0179,-0.0041
2016/12/30,-0.0269,0.004,-0.0245
2017/1/26,-0.0138,-0.0278,0.0259
2017/2/28,0.0262,-0.0165,0.0647
2017/3/31,-0.0245,-0.0006,0.0632
2017/4/28,-0.0164,-0.0218,0.0124
2017/5/31,-0.0421,-0.04,0.0178
2017/6/30,0.0426,-0.019,0.0198
2017/7/31,0.0272,-0.0214,0.0052
2017/8/31,-0.0009,-0.0021,0.0263
2017/9/29,0.0415,0.0059,0.0024
2017/10/31,-0.0136,-0.0152,0.0244
2017/11/30,-0.0548,-0.0188,-0.0155
2017/12/29,0.0145,-0.0278,0.0262
2018/1/31,0.0145,-0.0586,0.0493
2018/2/28,-0.0454,-0.0228,0.0396
2018/3/30,-0.0094,0.0237,-0.0344
2018/4/27,-0.0481,-0.0118,-0.0252
2018/5/31,-0.0132,-0.0427,0.0423
2018/6/29,-0.0418,-0.043,0.0364
2018/7/31,0.0031,-0.0169,0.006
2018/8/31,-0.0402,-0.0121,-0.0161
2018/9/28,-0.0047,-0.0069,-0.0379
2018/10/31,-0.0806,-0.0205,-0.0547
2018/11/30,0.0042,0.0064,-0.0474
2018/12/28,-0.0309,0,-0.0286
2019/1/31,0.0093,-0.0659,0.019
2019/2/28,0.1176,0.0693,0.0327
2019/3/29,0.0344,0.0343,-0.0317
2019/4/30,-0.003,-0.0291,0.0141
2019/5/31,-0.073,-0.0336,0.0152
2019/6/28,0.0376,-0.0099,-0.012
2019/7/31,-0.0285,-0.0255,0.0403
2019/8/30,-0.0569,-0.0097,0.0155
2019/9/30,0.0212,0.018,-0.0184
2019/10/31,-0.0433,0.004,-0.0016
2019/11/29,-0.0619,-0.0135,0.0527
2019/12/31,0.079,-0.0355,-0.0104
2020/1/23,-0.0177,0.008,0.0047
2020/2/28,-0.0657,-0.0203,0.0093
2020/3/31,-0.089,0.0232,-0.0019
2020/4/30,0.0072,-0.0738,0.0301
2020/5/29,-0.0246,-0.0142,-0.0258
2020/6/30,0.0492,-0.0028,0.0103
2020/7/31,0.1036,0.07,-0.023
2020/8/31,0.0548,-0.0459,-0.0545
2020/9/30,-0.0246,0.005,-0.0108
2020/10/30,-0.0138,-0.0444,0.0132
2020/11/30,0.0258,-0.0735,0.0819
2020/12/31,0.0327,-0.0115,-0.0436
2021/1/29,-0.01,-0.015,-0.0244
2021/2/26,0.0096,-0.0361,0.0797
2021/3/31,0.0157,0.0025,0.0075
2021/4/30,0.0124,-0.029,0.0626
2021/5/31,0.0166,-0.0046,0.0669
2021/6/30,0.0351,0.0026,-0.0405
2021/7/30,0.0006,0.0097,0.0171
2021/8/31,0.0285,-0.041,-0.0007
2021/9/30,0.0107,-0.0003,-0.0239
2021/10/29,-0.0179,-0.0026,-0.058
